slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
brenntag_se,Brenntag SE,Brenntag SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\brenntag_se\2023\focused\brenntag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.014795,0.414089,31.911682,33.722266,5,0
ca_immobilien_anlagen_ag,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\ca_immobilien_anlagen_ag\2023\focused\ca_immobilien_anlagen_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.016658,0.413619,8.152389,9.807968,5,0
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,15,8,0.018786,0.49332,29.028382,31.342753,8,0
cewe_stiftung_co_kgaa,CEWE Stiftung & Co. KGaA,CEWE Stiftung & Co. KGaA,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\cewe_stiftung_co_kgaa\2023\focused\cewe_stiftung_co_kgaa_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.018833,0.417787,14.284024,16.475972,7,0
christian_dior,CHRISTIAN DIOR,CHRISTIAN DIOR,2024,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\christian_dior\2024\focused\christian_dior_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.020043,0.4315,12.189364,13.580029,4,0
cie_automotive_s_a,"CIE Automotive, S.A.","CIE Automotive, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\cie_automotive_s_a\2023\focused\cie_automotive_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,6,6,0.007947,0.440907,24.204562,26.141085,6,0
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,58,8,0.052398,0.592842,85.563657,88.407301,8,0
compagnie_de_l_odet_se,Compagnie de l'Odet SE,Compagnie de l'Odet SE,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\compagnie_de_l_odet_se\2023\focused\compagnie_de_l_odet_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.020718,0.379306,26.506683,28.923367,8,0
continental_ag,Continental AG,Continental AG,2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\continental_ag\2023\focused\continental_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,5,5,0.008952,0.299668,23.076502,24.487058,5,0
corporacion_financiera_alba_s_a,"Corporacion Financiera Alba, S.A.","Corporacion Financiera Alba, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full\marker_artifacts\corporacion_financiera_alba_s_a\2023\focused\corporacion_financiera_alba_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.0143,0.324846,17.97902,20.159274,8,0
