company,bench_rows,rag_rows,matched_rows,unmatched_bench_rows,distinct_steps,step1,step2,step3,step4,score
Syzygy AG,2,2,2,0,1,0,2,0,0,4.1
Westwing Group SE,2,2,2,0,1,0,2,0,0,4.1
"Banco Santander, S.A.",3,20,0,3,0,0,0,0,0,3.9
Allianz SE,1,18,0,1,0,0,0,0,0,3.3
PATRIZIA SE,1,13,0,1,0,0,0,0,0,3.3
UNIQA Insurance Group AG,1,6,0,1,0,0,0,0,0,3.3
AMAG Austria Metall AG,1,2,1,0,1,1,0,0,0,2.8
ATOSS Software SE,1,8,1,0,1,1,0,0,0,2.8
"Corporacion Financiera Alba, S.A.",1,1,1,0,1,1,0,0,0,2.8
FREQUENTIS AG,1,1,1,0,1,1,0,0,0,2.8
Hawesko Holding SE,1,1,1,0,1,0,0,0,1,2.8
Mister Spex SE,1,1,1,0,1,0,0,1,0,2.8
Vossloh AG,1,6,1,0,1,0,1,0,0,2.8
