company_id,domain,query,best_link
EQUINOR ASA,cdn.equinor.com,"""EQUINOR ASA"" site:cdn.equinor.com ""Annual Report 2024"" filetype:pdf | ""EQUINOR ASA"" site:cdn.equinor.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"" OR ""Annual-Report-2024"") filetype:pdf",https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf
ESSILORLUXOTTICA,cms.essilorluxottica.com,"""ESSILORLUXOTTICA"" site:cms.essilorluxottica.com ""Annual Report 2024"" filetype:pdf | ""ESSILORLUXOTTICA"" site:cms.essilorluxottica.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",http://cms.essilorluxottica.com/caas/v1/media/253410/data/download/f3fc336829625bff7ba4953197866281.pdf
GALP ENERGIA SGPS S.A.,www.galp.com,"""GALP ENERGIA SGPS S.A."" site:www.galp.com ""Annual Report 2024"" filetype:pdf | ""GALP ENERGIA SGPS S.A."" site:www.galp.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2024/IntegratedManagementReport.pdf
HENKEL AG & CO. KGAA,www.henkel.com,"""HENKEL AG & CO. KGAA"" site:www.henkel.com ""Annual Report 2024"" filetype:pdf | ""HENKEL AG & CO. KGAA"" site:www.henkel.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.henkel.com/resource/blob/2043310/8e58944556950ebb78141bf6a86b58a9/data/2024-sustainability-report.pdf
HSBC HOLDINGS PLC,www.hsbc.com,"""HSBC HOLDINGS PLC"" site:www.hsbc.com ""Annual Report 2024"" filetype:pdf | ""HSBC HOLDINGS PLC"" site:www.hsbc.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-annual-report-and-accounts-2024.pdf
INCHCAPE PLC,www.inchcape.com,"""INCHCAPE PLC"" site:www.inchcape.com ""Annual Report 2024"" filetype:pdf | ""INCHCAPE PLC"" site:www.inchcape.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.inchcape.com/wp-content/uploads/2025/03/Inchcape-ARA-2024.pdf
ISS A/S,brand.issworld.com,"""ISS A/S"" site:brand.issworld.com ""Annual Report 2024"" filetype:pdf | ""ISS A/S"" site:brand.issworld.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://brand.issworld.com/m/1bb99b2c33c4d7cf/original/ISS-Annual-Report-2024.pdf
JDE PEET'S N.V.,www.jdepeets.com,"""JDE PEET'S N.V."" site:www.jdepeets.com ""Annual Report 2024"" filetype:pdf | ""JDE PEET'S N.V."" site:www.jdepeets.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.jdepeets.com/siteassets/home/sustainability/resources/jde-peets-nv-cdp-2024.pdf
KION GROUP AG,www.kiongroup.com,"""KION GROUP AG"" site:www.kiongroup.com ""Annual Report 2024"" filetype:pdf | ""KION GROUP AG"" site:www.kiongroup.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.kiongroup.com/KION-Website-Main/About-us/Sustainability/Insights/KION-Supplementary-Non-financial-Insights-2024.pdf
KNORR-BREMSE AG,ir-api.eqs.com,"""KNORR-BREMSE AG"" site:ir-api.eqs.com ""Annual Report 2024"" filetype:pdf | ""KNORR-BREMSE AG"" site:ir-api.eqs.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",
