slug,company,report_year,status,error_stage,error_message,n_chunks,n_evidence_rows_doc,n_pass2_batches,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,doc_total_elapsed_s,pass1_prompt_tokens_est_sum,pass2_prompt_tokens_est_sum,total_prompt_tokens_est_sum,pass1_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_prompt_tokens_api_sum,pass2_completion_tokens_api_sum,pass2_total_tokens_api_sum,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,n_pass1_calls_ok,n_pass1_calls_error,n_pass2_calls_ok,n_pass2_calls_error
stratec_se,STRATEC SE,2023,empty,pass1_to_pass2,,2,0,0,4.59567,0.0,4.59567,5.491716,26359,0,26359,26250,86,26336,0,0,0,26250,86,26336,2,0,0,0
salzgitter_ag,Salzgitter AG,2023,empty,pass1_to_pass2,,2,0,0,5.328523,0.0,5.328523,6.344916,31637,0,31637,31300,62,31362,0,0,0,31300,62,31362,2,0,0,0
sartorius_ag_st,Sartorius AG St,2023,empty,pass1_to_pass2,,1,0,0,3.207042,0.0,3.207042,3.871074,19634,0,19634,19372,41,19413,0,0,0,19372,41,19413,1,0,0,0
semperit_ag_holding,Semperit AG Holding,2023,empty,pass1_to_pass2,,1,0,0,1.761487,0.0,1.761487,2.347627,10234,0,10234,10202,47,10249,0,0,0,10202,47,10249,1,0,0,0
symrise_ag,Symrise AG,2023,empty,pass1_to_pass2,,1,0,0,2.041626,0.0,2.041626,2.546192,14524,0,14524,14275,39,14314,0,0,0,14275,39,14314,1,0,0,0
tag_immobilien_ag,TAG Immobilien AG,2023,empty,pass1_to_pass2,,1,0,0,2.045986,0.0,2.045986,2.565305,5076,0,5076,5049,33,5082,0,0,0,5049,33,5082,1,0,0,0
telekom_austria_ag,Telekom Austria AG,2023,empty,pass1_to_pass2,,1,0,0,2.254181,0.0,2.254181,2.856757,19177,0,19177,19047,34,19081,0,0,0,19047,34,19081,1,0,0,0
tubacex_s_a,"Tubacex, S.A.",2023,empty,pass1_to_pass2,,1,0,0,1.960379,0.0,1.960379,2.386479,4957,0,4957,4870,36,4906,0,0,0,4870,36,4906,1,0,0,0
tubos_reunidos,Tubos Reunidos,2023,empty,pass1_to_pass2,,1,0,0,1.862295,0.0,1.862295,2.251664,3521,0,3521,3483,47,3530,0,0,0,3483,47,3530,1,0,0,0
ubm_development_ag,UBM Development AG,2023,empty,pass1_to_pass2,,3,0,0,6.157001,0.0,6.157001,7.37906,42074,0,42074,41397,114,41511,0,0,0,41397,114,41511,3,0,0,0
uniqa_insurance_group_ag,UNIQA Insurance Group AG,2023,empty,pass1_to_pass2,,2,0,0,4.524462,0.0,4.524462,5.527637,27811,0,27811,27557,80,27637,0,0,0,27557,80,27637,2,0,0,0
united_internet_ag,United Internet AG,2023,empty,pass1_to_pass2,,1,0,0,1.867243,0.0,1.867243,2.255291,4054,0,4054,4031,45,4076,0,0,0,4031,45,4076,1,0,0,0
verbund_ag,VERBUND AG,2023,empty,pass1_to_pass2,,3,0,0,6.723438,0.0,6.723438,9.200895,53469,0,53469,53154,96,53250,0,0,0,53154,96,53250,3,0,0,0
volkswagen_ag_vz,Volkswagen AG Vz,2023,empty,pass1_to_pass2,,3,0,0,7.489679,0.0,7.489679,8.927971,50250,0,50250,49852,187,50039,0,0,0,49852,187,50039,3,0,0,0
w_stenrot_w_rttembergische_ag,Wüstenrot & Württembergische AG,2023,empty,pass1_to_pass2,,2,0,0,4.540297,0.0,4.540297,5.808254,41573,0,41573,40930,72,41002,0,0,0,40930,72,41002,2,0,0,0
zumtobel_group_ag,Zumtobel Group AG,2023,ok,,,2,36,1,11.264086,7.502675,18.766761,19.902728,29212,2472,31684,29022,2195,31217,2454,433,2887,31476,2628,34104,2,0,1,0
q_beyond_ag,q.beyond AG,2023,empty,pass1_to_pass2,,1,0,0,2.187549,0.0,2.187549,2.641894,9084,0,9084,8999,34,9033,0,0,0,8999,34,9033,1,0,0,0
voestalpine_ag,voestalpine AG,2023,empty,pass1_to_pass2,,1,0,0,1.81547,0.0,1.81547,2.338424,4677,0,4677,4631,34,4665,0,0,0,4631,34,4665,1,0,0,0
