slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
ca_immobilien_anlagen_ag,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ca_immobilien_anlagen_ag\2023\focused\ca_immobilien_anlagen_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,42,12,0.165938,0.977386,25.198409,29.262255,12,0
carrefour,CARREFOUR,CARREFOUR,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\carrefour\2024\focused\carrefour_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,411,12,0.48736,3.626812,39.391571,46.182916,12,0
cewe_stiftung_co_kgaa,CEWE Stiftung & Co. KGaA,CEWE Stiftung & Co. KGaA,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\cewe_stiftung_co_kgaa\2023\focused\cewe_stiftung_co_kgaa_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,18,12,0.27458,0.557991,24.639373,28.445074,12,0
christian_dior,CHRISTIAN DIOR,CHRISTIAN DIOR,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\christian_dior\2024\focused\christian_dior_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.201416,0.406765,14.530901,16.732675,7,0
cie_automotive_s_a,"CIE Automotive, S.A.","CIE Automotive, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\cie_automotive_s_a\2023\focused\cie_automotive_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,18,12,0.059146,0.409448,41.573337,44.949003,12,0
caixabank_s_a,"CaixaBank, S.A.","CaixaBank, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\caixabank_s_a\2023\focused\caixabank_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.2021,0.42682,39.165844,42.731009,12,0
commerzbank_ag,Commerzbank AG,Commerzbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\commerzbank_ag\2023\focused\commerzbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,55,12,0.201135,1.088565,61.418646,65.794757,12,0
compagnie_de_l_odet_se,Compagnie de l'Odet SE,Compagnie de l'Odet SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\compagnie_de_l_odet_se\2023\focused\compagnie_de_l_odet_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.096136,0.570056,30.808364,34.447356,12,0
continental_ag,Continental AG,Continental AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\continental_ag\2023\focused\continental_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,35,12,0.17353,0.646081,41.613904,45.265114,12,0
corporacion_financiera_alba_s_a,"Corporacion Financiera Alba, S.A.","Corporacion Financiera Alba, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\corporacion_financiera_alba_s_a\2023\focused\corporacion_financiera_alba_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,28,12,0.229427,0.70019,25.594595,29.453495,12,0
covestro_ag,Covestro AG,Covestro AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\covestro_ag\2023\focused\covestro_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,30,12,0.091607,0.466721,30.757118,34.070637,12,0
do_co_ag,DO & CO AG,DO & CO AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\do_co_ag\2023\focused\do_co_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,22,12,0.112345,0.408476,33.945518,37.214792,12,0
ds_smith_limited,DS SMITH LIMITED,DS SMITH LIMITED,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ds_smith_limited\2024\focused\ds_smith_limited_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,157,12,0.311123,0.750504,44.147385,47.822361,12,0
daimler_ag,Daimler AG,Daimler AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\daimler_ag\2023\focused\daimler_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,30,12,0.029981,0.337889,55.792631,58.86421,12,0
daimler_truck_holding_ag,Daimler Truck Holding AG,Daimler Truck Holding AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\daimler_truck_holding_ag\2023\focused\daimler_truck_holding_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,43,12,0.146043,0.590331,59.686383,63.202824,12,0
dassault_aviation,Dassault Aviation,Dassault Aviation,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\dassault_aviation\2023\focused\dassault_aviation_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,15,12,0.065857,0.374664,27.450003,30.564685,12,0
