slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
suss_microtec_se,SUSS MicroTec SE,SUSS MicroTec SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\suss_microtec_se\2023\focused\suss_microtec_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,18,8,0.025748,0.400881,32.709887,35.033883,8,0
salzgitter_ag,Salzgitter AG,Salzgitter AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\salzgitter_ag\2023\focused\salzgitter_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,27,8,0.023418,0.593411,20.193375,22.765038,8,0
sartorius_ag_st,Sartorius AG St,Sartorius AG St,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sartorius_ag_st\2023\focused\sartorius_ag_st_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.029898,0.578156,16.224762,18.693231,8,0
sartorius_ag_vz,Sartorius AG Vz,Sartorius AG Vz,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sartorius_ag_vz\2023\focused\sartorius_ag_vz_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.012975,0.41089,19.616376,21.93707,8,0
savencia,Savencia,Savencia,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\savencia\2023\focused\savencia_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,10,8,0.015841,0.550644,31.915243,34.315748,8,0
scout24_se,Scout24 SE,Scout24 SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\scout24_se\2023\focused\scout24_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,30,8,0.010124,0.419472,15.378141,17.616718,8,0
semperit_ag_holding,Semperit AG Holding,Semperit AG Holding,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\semperit_ag_holding\2023\focused\semperit_ag_holding_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.008374,0.452233,25.58103,27.823279,8,0
siltronic_ag,Siltronic AG,Siltronic AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\siltronic_ag\2023\focused\siltronic_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,22,8,0.022422,0.529634,17.62884,20.06128,8,0
symrise_ag,Symrise AG,Symrise AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\symrise_ag\2023\focused\symrise_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.016493,0.425947,13.686484,15.920778,8,0
syzygy_ag,Syzygy AG,Syzygy AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\syzygy_ag\2023\focused\syzygy_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,19,8,0.022733,0.513739,19.249917,21.713573,8,0
tag_immobilien_ag,TAG Immobilien AG,TAG Immobilien AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\tag_immobilien_ag\2023\focused\tag_immobilien_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.00892,0.384845,14.34528,15.657931,4,0
takkt_ag,TAKKT AG,TAKKT AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\takkt_ag\2023\focused\takkt_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,19,8,0.025569,0.883292,13.541831,16.288988,8,0
telefonica_sa,TELEFONICA SA,TELEFONICA SA,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\telefonica_sa\2024\focused\telefonica_sa_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,7,7,0.02425,0.412957,21.884649,23.871199,7,0
talanx_aktiengesellschaft,Talanx Aktiengesellschaft,Talanx Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\talanx_aktiengesellschaft\2023\focused\talanx_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,30,8,0.015665,0.459312,35.260868,37.705136,8,0
teamviewer_se,TeamViewer SE,TeamViewer SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\teamviewer_se\2023\focused\teamviewer_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,14,8,0.00801,0.418595,14.595102,16.883066,8,0
telekom_austria_ag,Telekom Austria AG,Telekom Austria AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\telekom_austria_ag\2023\focused\telekom_austria_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,16,8,0.010375,0.36959,12.347835,14.557245,8,0
tubacex_s_a,"Tubacex, S.A.","Tubacex, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\tubacex_s_a\2023\focused\tubacex_s_a_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.010415,0.476793,6.968355,8.375518,4,0
tubos_reunidos,Tubos Reunidos,Tubos Reunidos,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\tubos_reunidos\2023\focused\tubos_reunidos_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,3,3,0.005532,0.36873,5.325927,6.358489,3,0
ubm_development_ag,UBM Development AG,UBM Development AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ubm_development_ag\2023\focused\ubm_development_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,35,8,0.025704,0.508697,12.702424,15.046934,8,0
uniqa_insurance_group_ag,UNIQA Insurance Group AG,UNIQA Insurance Group AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\uniqa_insurance_group_ag\2023\focused\uniqa_insurance_group_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,23,8,0.019557,0.384463,27.424216,29.675621,8,0
united_internet_ag,United Internet AG,United Internet AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\united_internet_ag\2023\focused\united_internet_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,4,4,0.004203,0.348819,12.524243,13.78031,4,0
verbund_ag,VERBUND AG,VERBUND AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\verbund_ag\2023\focused\verbund_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,38,8,0.040319,0.505316,18.520198,21.038861,8,0
verbund_ag,VERBUND AG,VERBUND AG,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\verbund_ag\2024\focused\verbund_ag_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,6,6,0.023019,0.375388,15.71934,17.418077,6,0
vienna_insurance_group_ag,VIENNA INSURANCE GROUP AG,VIENNA INSURANCE GROUP AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vienna_insurance_group_ag\2023\focused\vienna_insurance_group_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.016852,0.395749,23.712574,25.909584,8,0
vodafone_group_plc,VODAFONE GROUP PLC,VODAFONE GROUP PLC,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vodafone_group_plc\2024\focused\vodafone_group_plc_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.020519,0.398465,16.405838,18.543208,8,0
virbac,Virbac,Virbac,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\virbac\2023\focused\virbac_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.022868,0.420033,19.808224,22.121091,8,0
viscom_se,Viscom SE,Viscom SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\viscom_se\2023\focused\viscom_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.02743,0.420924,17.514303,19.85136,8,0
volkswagen_ag_st,Volkswagen AG St,Volkswagen AG St,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\volkswagen_ag_st\2023\focused\volkswagen_ag_st_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.022603,0.496165,17.189719,19.633508,8,0
volkswagen_ag_vz,Volkswagen AG Vz,Volkswagen AG Vz,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\volkswagen_ag_vz\2023\focused\volkswagen_ag_vz_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,42,8,0.035956,0.688899,18.311864,20.965964,8,0
vonovia_se,Vonovia SE,Vonovia SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vonovia_se\2023\focused\vonovia_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,28,8,0.022266,0.458013,51.805238,54.188243,8,0
vossloh_ag,Vossloh AG,Vossloh AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vossloh_ag\2023\focused\vossloh_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,26,8,0.036152,0.587754,18.145748,20.595085,8,0
