company_name_full,reason,url,pdf_path,size_bytes,error
Bechtle AG,ok,https://www.bechtle.com/dam/jcr:f7605839-67f3-4064-a1ea-e109b3f7c2ce/bechtle_ag_annual_report_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\bechtle_ag\2023\report.pdf,11924795.0,
Beiersdorf AG,ok,https://www.beiersdorf.com/~/media/Beiersdorf/investors/financial-publication/2025/annual-report/Beiersdorf-Annual-Report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\beiersdorf_ag\2023\report.pdf,7760840.0,
Bike24 Holding AG,missing_link_report,,,,
Bilfinger SE,missing_link_report,,,,
Brenntag SE,ok,https://brenntagprod-media.e-spirit.cloud/06432017-be1f-41ce-8d1d-564e2a66d213/preview/documents/corporate/investor-relations/2024/annual-report-2024/brenntag_annual-report-2024_en.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\brenntag_se\2023\report.pdf,4710.0,
CA Immobilien Anlagen AG,missing_link_report,,,,
CARREFOUR,ok,https://www.carrefour.com/sites/default/files/2025-04/CFR_URD_2024_EN_250328_MEL.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\carrefour\2024\report.pdf,10074816.0,
CEWE Stiftung & Co. KGaA,missing_link_report,,,,
CHRISTIAN DIOR,ok,https://www.dior-finance.com/pdf/d/2/1124/Christian%20Dior%20-%20Annual%20Report%20as%20of%20December%2031%2C%202024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\christian_dior\2024\report.pdf,7510810.0,
"CIE Automotive, S.A.",missing_link_report,,,,
"CaixaBank, S.A.",missing_link_report,,,,
Commerzbank AG,missing_link_report,,,,
Compagnie de l'Odet SE,missing_link_report,,,,
Continental AG,missing_link_report,,,,
"Corporacion Financiera Alba, S.A.",missing_link_report,,,,
Covestro AG,missing_link_report,,,,
DO & CO AG,missing_link_report,,,,
DS SMITH LIMITED,ok,https://www.dssmith.com/contentassets/5318335f89404a1f96bcd238b5344e58/ds-smith-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\ds_smith_limited\2024\report.pdf,11324953.0,
Daimler AG,missing_link_report,,,,
Daimler Truck Holding AG,missing_link_report,,,,
Dassault Aviation,missing_link_report,,,,
Delivery Hero SE,ok,https://www.lobbyregister.bundestag.de/media/d6/a7/560286/Delivery-Hero-Annual-Report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\delivery_hero_se\2023\report.pdf,9314726.0,
Deutsche Lufthansa AG,missing_link_report,,,,
Deutsche Pfandbriefbank AG,missing_link_report,,,,
Deutsche Post AG,missing_link_report,,,,
Deutsche Telekom AG,missing_link_report,,,,
Deutz AG,missing_link_report,,,,
Dürr AG,missing_link_report,,,,
E.ON SE,ok,https://annualreport.eon.com/content/dam/eon-annualreport/documents/en/GB24-gesamt-EN_final.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\e_on_se\2023\2024\report.pdf,7301445.0,
"EDP Renováveis, S.A.",missing_link_report,,,,
ENI S.P.A.,ok,https://www.eni.com/content/dam/enicom/documents/eng/reports/2024/ar-2024/Annual-Report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\eni_s_p_a\2024\report.pdf,12194149.0,
EQUINOR ASA,ok,https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\equinor_asa\2024\report.pdf,48867924.0,
EVN AG,missing_link_report,,,,
Eckert & Ziegler SE,missing_link_report,,,,
Elmos Semiconductor SE,missing_link_report,,,,
ElringKlinger AG,missing_link_report,,,,
EnBW Energie Baden-Württemberg AG,missing_link_report,,,,
"Enagás, S.A.",missing_link_report,,,,
"Endesa, S.A.",missing_link_report,,,,
Erste Group Bank AG,missing_link_report,,,,
Evonik Industries AG,ok,https://www.evonik.com/content/dam/evonik/documents/Evonik_Financial_and_Sustainability_Report_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\evonik_industries_ag\2023\report.pdf,7131811.0,
FACC AG,missing_link_report,,,,
FREQUENTIS AG,missing_link_report,,,,
FUCHS SE,ok,https://www.fuchs.com/fileadmin/Home/Hauptversammlung/HV_2025/Englisch/FPL_GB24_englisch_final_interaktiv_geschuetzt.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\fuchs_se\2023\2024\report.pdf,8620910.0,
FamiCord AG,missing_link_report,,,,
Flughafen Wien AG,missing_link_report,,,,
Fraport AG,missing_link_report,,,,
Fresenius Medical Care AG,missing_link_report,,,,
Fresenius SE & Co. KGaA,ok,https://www.fresenius.com/sites/default/files/2025-03/Fresenius_Annual_Report_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\fresenius_se_co_kgaa\2023\report.pdf,11803213.0,
Friedrich Vorwerk Group SE,missing_link_report,,,,
GALP ENERGIA SGPS S.A.,ok,https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2024/IntegratedManagementReport.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\galp_energia_sgps_s_a\2024\report.pdf,14178620.0,
GEA Group Aktiengesellschaft,missing_link_report,,,,
"Gestamp Automoción, S.A.",missing_link_report,,,,
Grammer Aktiengesellschaft,missing_link_report,,,,
HAMBORNER REIT AG NA O.N.,missing_link_report,,,,
HEINEKEN HOLDING N.V.,ok,https://www.theheinekencompany.com/sites/heineken-corp/files/2025-02/heineken_n_v_annual_report_2024_final_20feb2025.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\heineken_holding_n_v\2024\report.pdf,40958681.0,
HELLA GmbH & Co. KGaA,missing_link_report,,,,
HENKEL AG & CO. KGAA,ok,https://www.henkel.com/resource/blob/2043310/8e58944556950ebb78141bf6a86b58a9/data/2024-sustainability-report.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\henkel_ag_co_kgaa\2024\report.pdf,4732756.0,
HOCHTIEF AG,missing_link_report,,,,
Hamburger Hafen und Logistik AG,missing_link_report,,,,
Hapag-Lloyd AG,missing_link_report,,,,
Hawesko Holding SE,missing_link_report,,,,
Heidelberg Materials AG,missing_link_report,,,,
Hugo Boss AG,missing_link_report,,,,
IBERDROLA SA,ok,https://www.iberdrola.com/documents/20125/4778712/gsm25-sustainability-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\iberdrola_sa\2024\report.pdf,15504846.0,
INDUSTRIA DE DISENO TEXTIL S.A.,ok,https://www.inditex.com/itxcomweb/api/media/604197b9-50de-4f4f-ab84-c1e379cb3fd0/Inditex_Group_Annual_Report_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\industria_de_diseno_textil_s_a\2024\report.pdf,48523970.0,
INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A,ok,https://www.iairgroup.com/media/4qxgaavc/iag-annual-report-and-accounts-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\international_consolidated_airlines_group_s_a\2024\report.pdf,33807386.0,
IONOS Group SE,missing_link_report,,,,
ISS A/S,ok,https://brand.issworld.com/m/1bb99b2c33c4d7cf/original/ISS-Annual-Report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\iss_a_s\2024\report.pdf,29707670.0,
IVU Traffic Technologies AG,missing_link_report,,,,
Immofinanz AG,missing_link_report,,,,
Indus Holding AG,missing_link_report,,,,
"Industria de Diseño Textil, S.A.",missing_link_report,,,,
Instone Real Estate Group,missing_link_report,,,,
JERONIMO MARTINS SGPS S.A.,ok,https://reports.jeronimomartins.com/annual-report/2024/_assets/downloads/entire-jeronimomartins-ar24.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\jeronimo_martins_sgps_s_a\2024\report.pdf,26014777.0,
Jenoptik AG,missing_link_report,,,,
Jungheinrich AG,missing_link_report,,,,
K+S Aktiengesellschaft,missing_link_report,,,,
KION GROUP AG,missing_link_report,,,,
KONINKLIJKE AHOLD DELHAIZE N.V.,ok,https://www.aholddelhaize.com/media/eacd1r3g/annual-report-2024-ahold-delhaize.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\koninklijke_ahold_delhaize_n_v\2024\report.pdf,47722143.0,
KSB SE & Co. KGaA Vz,missing_link_report,,,,
Kapsch TrafficCom AG,missing_link_report,,,,
Klöckner & Co SE,missing_link_report,,,,
Knorr-Bremse AG,missing_link_report,,,,
Koenig & Bauer AG,missing_link_report,,,,
Krones AG,missing_link_report,,,,
L'OREAL,ok,https://www.loreal-finance.com/fr/system/files?file=2025-03/LOREAL_DEU_2024_UK.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\l_oreal\2024\report.pdf,12472919.0,
LACROIX Group,missing_link_report,,,,
LANXESS AG,missing_link_report,,,,
LEG Immobilien SE,missing_link_report,,,,
Lenzing AG,missing_link_report,,,,
MAX AUTOMATION SE NA O.N.,missing_link_report,,,,
MBB SE,missing_link_report,,,,
MERCEDES-BENZ GROUP AG,ok,https://group.mercedes-benz.com/documents/investors/reports/annual-report/mercedes-benz/mercedes-benz-annual-report-2024-incl-combined-management-report-mbg-ag.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\mercedes_benz_group_ag\2024\report.pdf,11596671.0,
MLP SE,missing_link_report,,,,
MTU Aero Engines AG,missing_link_report,,,,
Manz AG,missing_link_report,,,,
Mayr-Melnhof Karton AG,missing_link_report,,,,
MediClin AG,missing_link_report,,,,
Medios AG,missing_link_report,,,,
"Melia Hotels International, S.A.",missing_link_report,,,,
"Minor Hotels Europe & Americas, S.A.",missing_link_report,,,,
Mister Spex SE,missing_link_report,,,,
NORMA Group SE,missing_link_report,,,,
NOVO NORDISK A/S,ok,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\novo_nordisk_a_s\2024\report.pdf,13271945.0,
Nemetschek SE,missing_link_report,,,,
OMV AG,missing_link_report,,,,
OMV AKTIENGESELLSCHAFT,ok,https://reports.omv.com/en/annual-report/2024/_assets/downloads/entire-omv-ar24.pdf?h=AXaBFK3e,C:\Universita\TESI\esg_agent\RAG_full\cache\omv_aktiengesellschaft\2024\report.pdf,16950430.0,
Oesterreichische Post AG,missing_link_report,,,,
PATRIZIA SE,missing_link_report,,,,
PIERER Mobility AG,missing_link_report,,,,
PNE AG,missing_link_report,,,,
POLYTEC Holding AG,missing_link_report,,,,
PORR AG,missing_link_report,,,,
PSI Software SE,missing_link_report,,,,
PVA TePla AG,missing_link_report,,,,
Palfinger AG,missing_link_report,,,,
Porsche AG Vz,missing_link_report,,,,
ProSiebenSat.1 Media SE,missing_link_report,,,,
"Prosegur Cash, S.A.",missing_link_report,,,,
R. Stahl AG,missing_link_report,,,,
RENAULT,ok,https://assets.renaultgroup.com/uploads/2025/03/Renault_URD_2024_EN.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\renault\2024\report.pdf,31730320.0,
REPSOL SA.,ok,https://www.repsol.com/content/dam/repsol-corporate/es/accionistas-e-inversores/rif/2025/rif20022025-2024-repsol-group-annual-financial-report.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\repsol_sa\2024\report.pdf,14480877.0,
RHI Magnesita N.V.,missing_link_report,,,,
RHÖN-KLINIKUM AG,missing_link_report,,,,
RINGMETALL SE  NA O.N.,missing_link_report,,,,
RWE AG St,missing_link_report,,,,
"Renta 4 Banco, S.A.",missing_link_report,,,,
Rheinmetall AG,missing_link_report,,,,
Rosenbauer International AG,missing_link_report,,,,
S IMMO AG,missing_link_report,,,,
SAFRAN,ok,https://www.safran-group.com/sites/default/files/2025-04/2024-safran-universal-registration-document.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\safran\2024\report.pdf,15921622.0,
SAP SE,missing_link_report,,,,
SCHNEIDER ELECTRIC SE,ok,https://www.se.com/ww/en/assets/564/document/510443/2024-universal-registration-document.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\schneider_electric_se\2024\report.pdf,14629314.0,
SCHOELLER-BLECKMANN AG,missing_link_report,,,,
SGL Carbon SE,missing_link_report,,,,
SHELL PLC,ok,https://www.shell.com/investors/results-and-reporting/annual-report/_jcr_content/root/main/section_2113846431/link_list/links/item0.stream/1752580693041/6c20b8111738b9a590ba145f0d1c4fa0e530dae0/shell-annual-report-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\shell_plc\2024\report.pdf,13975168.0,
SMA Solar Technology AG,missing_link_report,,,,
STRABAG SE,missing_link_report,,,,
STRATEC SE,missing_link_report,,,,
SUSS MicroTec SE,missing_link_report,,,,
Salzgitter AG,missing_link_report,,,,
Sartorius AG St,missing_link_report,,,,
Sartorius AG Vz,missing_link_report,,,,
Savencia,missing_link_report,,,,
Scout24 SE,missing_link_report,,,,
Semperit AG Holding,missing_link_report,,,,
Siltronic AG,missing_link_report,,,,
Symrise AG,missing_link_report,,,,
Syzygy AG,missing_link_report,,,,
TAG Immobilien AG,missing_link_report,,,,
TAKKT AG,missing_link_report,,,,
TELEFONICA SA,ok,https://www.telefonica.com/en/wp-content/uploads/sites/5/2025/02/Consolidated-Annual-Accounts-2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\telefonica_sa\2024\report.pdf,41273417.0,
Talanx Aktiengesellschaft,missing_link_report,,,,
TeamViewer SE,missing_link_report,,,,
Telekom Austria AG,missing_link_report,,,,
"Tubacex, S.A.",missing_link_report,,,,
Tubos Reunidos,missing_link_report,,,,
UBM Development AG,missing_link_report,,,,
UNIQA Insurance Group AG,missing_link_report,,,,
United Internet AG,missing_link_report,,,,
VERBUND AG,ok,https://www.verbund.com/media/knlh3iey/verbund-integrated-annual-report-2024-englisch-final-1.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\verbund_ag\2023\2024\report.pdf,5013942.0,
VIENNA INSURANCE GROUP AG,missing_link_report,,,,
VODAFONE GROUP PLC,ok,https://d1ize34iqy408p.cloudfront.net/documents/VodafoneZiggo_Integrated_Annual_Report_2024.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\vodafone_group_plc\2024\report.pdf,10417301.0,
Virbac,missing_link_report,,,,
Viscom SE,missing_link_report,,,,
Volkswagen AG St,missing_link_report,,,,
Volkswagen AG Vz,missing_link_report,,,,
Vonovia SE,missing_link_report,,,,
Vossloh AG,missing_link_report,,,,
Warimpex Finanz- und Bet. AG,missing_link_report,,,,
WashTec AG,missing_link_report,,,,
Westwing Group SE,missing_link_report,,,,
Wienerberger AG,missing_link_report,,,,
Wüstenrot & Württembergische AG,missing_link_report,,,,
Zalando SE,missing_link_report,,,,
Zumtobel Group AG,missing_link_report,,,,
adidas AG,ok,https://report.adidas-group.com/2024/en/_assets/downloads/annual-report-adidas-ar24.pdf,C:\Universita\TESI\esg_agent\RAG_full\cache\adidas_ag\2023\report.pdf,38124430.0,
freenet AG,missing_link_report,,,,
grenke AG,missing_link_report,,,,
q.beyond AG,missing_link_report,,,,
secunet Security Networks AG,missing_link_report,,,,
technotrans SE,missing_link_report,,,,
voestalpine AG,missing_link_report,,,,
