slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
hugo_boss_ag,Hugo Boss AG,2023,3.0,3.0,0.0,0.0,0.0,43.491749,0.0,43.491749,43076.0,0.0,43076.0,166.0,0.0,166.0,43242.0,0.0,43242.0,0.0,0.0,1.0,empty
alzchem_group_ag,Alzchem Group AG,2023,2.0,2.0,0.0,1.0,0.0,33.954114000000004,8.841911,42.796025,23372.0,1877.0,25249.0,2078.0,467.0,2545.0,25450.0,2344.0,27794.0,26.0,11.0,1.0,ok
deutz_ag,Deutz AG,2023,3.0,3.0,0.0,1.0,0.0,31.430649,10.853053,42.283702,45194.0,1197.0,46391.0,1888.0,674.0,2562.0,47082.0,1871.0,48953.0,14.0,14.0,1.0,ok
ivu_traffic_technologies_ag,IVU Traffic Technologies AG,2023,2.0,2.0,0.0,1.0,0.0,36.652307,5.110014,41.762321,25495.0,579.0,26074.0,529.0,202.0,731.0,26024.0,781.0,26805.0,2.0,2.0,1.0,ok
brenntag_se,Brenntag SE,2023,2.0,2.0,0.0,1.0,0.0,28.928272,12.303418,41.23169,37914.0,1433.0,39347.0,1428.0,785.0,2213.0,39342.0,2218.0,41560.0,20.0,14.0,1.0,ok
acs_actividades_de_construcci_n_y_servicios_s_a,"ACS, Actividades de Construcción y Servicios, S.A.",2023,3.0,3.0,0.0,1.0,0.0,29.040051000000002,11.263855,40.303906,54603.0,1391.0,55994.0,1660.0,711.0,2371.0,56263.0,2102.0,58365.0,21.0,21.0,1.0,ok
fuchs_se,FUCHS SE,2023,2.0,2.0,0.0,1.0,0.0,32.37432,6.74334,39.11766,30657.0,1525.0,32182.0,1574.0,412.0,1986.0,32231.0,1937.0,34168.0,18.0,11.0,1.0,ok
covestro_ag,Covestro AG,2023,2.0,2.0,0.0,1.0,0.0,22.983384,15.845998,38.829382,38191.0,1878.0,40069.0,2344.0,939.0,3283.0,40535.0,2817.0,43352.0,31.0,31.0,1.0,ok
fuchs_se,FUCHS SE,2024,1.0,1.0,0.0,1.0,0.0,22.120876,16.450809,38.571685,8950.0,1613.0,10563.0,1277.0,991.0,2268.0,10227.0,2604.0,12831.0,21.0,17.0,1.0,ok
a_p_moller_maersk_a_s,A P MOLLER-MAERSK A/S,2024,1.0,1.0,0.0,1.0,0.0,28.191769,10.32481,38.516579,10816.0,2279.0,13095.0,2009.0,355.0,2364.0,12825.0,2634.0,15459.0,30.0,9.0,1.0,ok
